Year,Gender,AgeInterval,Pop,Total pop
1960,FE,15-19,535796,6185595
1960,FE,20-24,511981,6185595
1960,FE,25-29,487610,6185595
1960,FE,30-34,452043,6185595
1960,MA,15-19,527678,6142937
1960,MA,20-24,510662,6142937
1960,MA,25-29,484800,6142937
1960,MA,30-34,445977,6142937
1961,FE,15-19,540428,6387289
1961,FE,20-24,514049,6387289
1961,FE,25-29,490799,6387289
1961,FE,30-34,461928,6387289
1961,MA,15-19,527805,6323292
1961,MA,20-24,501690,6323292
1961,MA,25-29,482151,6323292
1961,MA,30-34,453253,6323292
1962,FE,15-19,544053,6594582
1962,FE,20-24,515630,6594582
1962,FE,25-29,493406,6594582
1962,FE,30-34,467555,6594582
1962,MA,15-19,531270,6500306
1962,MA,20-24,489798,6500306
1962,MA,25-29,477317,6500306
1962,MA,30-34,454371,6500306
1963,FE,15-19,551072,6803370
1963,FE,20-24,517192,6803370
1963,FE,25-29,495557,6803370
1963,FE,30-34,470180,6803370
1963,MA,15-19,541680,6675053
1963,MA,20-24,477266,6675053
1963,MA,25-29,470324,6675053
1963,MA,30-34,451033,6675053
1964,FE,15-19,568367,7008233
1964,FE,20-24,518959,7008233
1964,FE,25-29,497093,7008233
1964,FE,30-34,471794,7008233
1964,MA,15-19,563706,6849416
1964,MA,20-24,467746,6849416
1964,MA,25-29,461171,6849416
1964,MA,30-34,445760,6849416
1965,FE,15-19,599700,7205343
1965,FE,20-24,521522,7205343
1965,FE,25-29,497961,7205343
1965,FE,30-34,473679,7205343
1965,MA,15-19,599638,7024820
1965,MA,20-24,463989,7024820
1965,MA,25-29,450150,7024820
1965,MA,30-34,440034,7024820
1966,FE,15-19,627780,7393479
1966,FE,20-24,518208,7393479
1966,FE,25-29,497433,7393479
1966,FE,30-34,475031,7393479
1966,MA,15-19,630379,7201871
1966,MA,20-24,463872,7201871
1966,MA,25-29,444499,7201871
1966,MA,30-34,436865,7201871
1967,FE,15-19,670587,7573838
1967,FE,20-24,509870,7573838
1967,FE,25-29,496995,7573838
1967,FE,30-34,477000,7573838
1967,MA,15-19,675361,7380193
1967,MA,20-24,463254,7380193
1967,MA,25-29,437571,7380193
1967,MA,30-34,435874,7380193
1968,FE,15-19,723526,7748200
1968,FE,20-24,500068,7748200
1968,FE,25-29,496039,7748200
1968,FE,30-34,479148,7748200
1968,MA,15-19,731264,7559073
1968,MA,20-24,463749,7559073
1968,MA,25-29,429582,7559073
1968,MA,30-34,436234,7559073
1969,FE,15-19,777608,7919428
1969,FE,20-24,496864,7919428
1969,FE,25-29,492667,7919428
1969,FE,30-34,480471,7919428
1969,MA,15-19,789603,7737415
1969,MA,20-24,470589,7737415
1969,MA,25-29,420837,7737415
1969,MA,30-34,435539,7737415
1970,FE,15-19,827201,8089991
1970,FE,20-24,507080,8089991
1970,FE,25-29,485075,8089991
1970,FE,30-34,480140,8089991
1970,MA,15-19,844502,7914740
1970,MA,20-24,488893,7914740
1970,MA,25-29,411487,7914740
1970,MA,30-34,431669,7914740
1971,FE,15-19,869713,8260167
1971,FE,20-24,536993,8260167
1971,FE,25-29,473637,8260167
1971,FE,30-34,476281,8260167
1971,MA,15-19,890383,8090714
1971,MA,20-24,527595,8090714
1971,MA,25-29,404535,8090714
1971,MA,30-34,421768,8090714
1972,FE,15-19,908535,8430322
1972,FE,20-24,582029,8430322
1972,FE,25-29,457429,8430322
1972,FE,30-34,473109,8430322
1972,MA,15-19,931394,8266569
1972,MA,20-24,579899,8266569
1972,MA,25-29,397539,8266569
1972,MA,30-34,410021,8266569
1973,FE,15-19,945928,8603262
1973,FE,20-24,636297,8603262
1973,FE,25-29,441949,8603262
1973,FE,30-34,469738,8603262
1973,MA,15-19,970444,8445256
1973,MA,20-24,639981,8445256
1973,MA,25-29,394140,8445256
1973,MA,30-34,397855,8445256
1974,FE,15-19,984686,8782436
1974,FE,20-24,690826,8782436
1974,FE,25-29,436399,8782436
1974,FE,30-34,464239,8782436
1974,MA,15-19,1011605,8630708
1974,MA,20-24,699605,8630708
1974,MA,25-29,400723,8630708
1974,MA,30-34,386310,8630708
1975,FE,15-19,1025671,8970366
1975,FE,20-24,740862,8970366
1975,FE,25-29,446455,8970366
1975,FE,30-34,454887,8970366
1975,MA,15-19,1056183,8825798
1975,MA,20-24,754517,8825798
1975,MA,25-29,421078,8825798
1975,MA,30-34,375978,8825798
1976,FE,15-19,1059517,9167754
1976,FE,20-24,793377,9167754
1976,FE,25-29,478465,9167754
1976,FE,30-34,442894,9167754
1976,MA,15-19,1090865,9031090
1976,MA,20-24,808282,9031090
1976,MA,25-29,463385,9031090
1976,MA,30-34,369281,9031090
1977,FE,15-19,1092195,9374268
1977,FE,20-24,840778,9374268
1977,FE,25-29,526833,9374268
1977,FE,30-34,427279,9374268
1977,MA,15-19,1126603,9245825
1977,MA,20-24,854961,9245825
1977,MA,25-29,519338,9245825
1977,MA,30-34,364193,9245825
1978,FE,15-19,1124138,9589989
1978,FE,20-24,883333,9589989
1978,FE,25-29,585660,9589989
1978,FE,30-34,414287,9589989
1978,MA,15-19,1163646,9469781
1978,MA,20-24,895841,9469781
1978,MA,25-29,582865,9469781
1978,MA,30-34,365249,9469781
1979,FE,15-19,1154593,9814635
1979,FE,20-24,923164,9814635
1979,FE,25-29,645312,9814635
1979,FE,30-34,413097,9814635
1979,MA,15-19,1199690,9702307
1979,MA,20-24,934429,9702307
1979,MA,25-29,644718,9702307
1979,MA,30-34,377904,9702307
1980,FE,15-19,1182997,10047544
1980,FE,20-24,962152,10047544
