Area,AgeInterval,Gender,Year,Percentage
Urban,15-24,MA,1977,0.205
Urban,15-24,MA,1978,0.201
Urban,15-24,MA,1979,0.208
Urban,15-24,MA,1980,0.201
Urban,15-24,MA,1981,0.235
Urban,15-24,MA,1982,0.23
Urban,15-24,MA,1984,0.368
Urban,15-24,MA,1985,0.27
Urban,15-24,MA,1986,0.315
Urban,15-24,MA,1987,0.294
Urban,15-24,MA,1988,0.315
Urban,15-24,MA,1989,0.316
Urban,15-24,MA,1990,0.309
Urban,15-24,MA,1991,0.313
Urban,15-24,MA,1992,0.274
Urban,15-24,MA,1993,0.295
Urban,15-24,MA,1995,0.352
Urban,15-24,MA,1996,0.316
Urban,15-24,MA,1997,0.3
Urban,15-24,MA,1998,0.347
Urban,15-24,MA,1999,0.378
Urban,15-24,MA,2000,0.378
Urban,15-24,MA,2001,0.354
Urban,15-24,MA,2002,0.332
Urban,15-24,MA,2003,0.334
Urban,15-24,MA,2004,0.318
Urban,15-24,MA,2005,0.317
Urban,15-24,MA,2006,0.305
Urban,15-24,MA,2007,0.301
Urban,15-24,MA,2008,0.303
Urban,15-24,MA,2009,0.299
Urban,15-24,MA,2010,0.301
Urban,15-24,MA,2011,0.295
Urban,15-24,MA,2013,0.331
Urban,15-24,MA,2014,0.352
Urban,15-24,MA,2015,0.35
Urban,15-24,MA,2016,0.375
Urban,15-24,MA,2017,0.379
Urban,15-24,MA,2018,0.365
Urban,15-24,MA,2019,0.342
Urban,15-24,FE,1977,0.15
Urban,15-24,FE,1978,0.149
Urban,15-24,FE,1979,0.175
Urban,15-24,FE,1980,0.163
Urban,15-24,FE,1981,0.245
Urban,15-24,FE,1982,0.226
Urban,15-24,FE,1984,0.349
Urban,15-24,FE,1985,0.288
Urban,15-24,FE,1986,0.317
Urban,15-24,FE,1987,0.266
Urban,15-24,FE,1988,0.317
Urban,15-24,FE,1989,0.294
Urban,15-24,FE,1990,0.316
Urban,15-24,FE,1991,0.353
Urban,15-24,FE,1992,0.358
Urban,15-24,FE,1993,0.32
Urban,15-24,FE,1995,0.406
Urban,15-24,FE,1996,0.33
Urban,15-24,FE,1997,0.295
Urban,15-24,FE,1998,0.359
Urban,15-24,FE,1999,0.379
Urban,15-24,FE,2000,0.37
Urban,15-24,FE,2001,0.358
Urban,15-24,FE,2002,0.37
Urban,15-24,FE,2003,0.377
Urban,15-24,FE,2004,0.376
Urban,15-24,FE,2005,0.364
Urban,15-24,FE,2006,0.353
Urban,15-24,FE,2007,0.359
Urban,15-24,FE,2008,0.361
Urban,15-24,FE,2009,0.377
Urban,15-24,FE,2010,0.348
