Age,Grade,Gender,Year,Number,Sector
15,C1,FE,1976,7898,PUB
15,C1,MA,1976,15289,PUB
15,C2,FE,1976,6044,PUB
15,C2,MA,1976,11445,PUB
15,C3,FE,1976,2920,PUB
15,C3,MA,1976,6226,PUB
16,C1,FE,1976,5691,PUB
16,C1,MA,1976,11060,PUB
16,C2,FE,1976,6746,PUB
16,C2,MA,1976,12753,PUB
16,C3,FE,1976,5288,PUB
16,C3,MA,1976,10614,PUB
17,C1,FE,1976,1391,PUB
17,C1,MA,1976,2824,PUB
17,C2,FE,1976,4862,PUB
17,C2,MA,1976,9440,PUB
17,C3,FE,1976,6180,PUB
17,C3,MA,1976,13013,PUB
18,C2,FE,1976,1451,PUB
18,C2,MA,1976,2992,PUB
18,C3,FE,1976,4740,PUB
18,C3,MA,1976,10161,PUB
19,C2,FE,1976,164,PUB
19,C2,MA,1976,372,PUB
19,C3,FE,1976,2033,PUB
19,C3,MA,1976,4415,PUB
20,C3,FE,1976,494,PUB
20,C3,MA,1976,1085,PUB
15,C1,FE,1977,9919,PUB
15,C1,MA,1977,17935,PUB
15,C2,FE,1977,6550,PUB
15,C2,MA,1977,12119,PUB
15,C3,FE,1977,3406,PUB
15,C3,MA,1977,6392,PUB
16,C1,FE,1977,7556,PUB
16,C1,MA,1977,14209,PUB
16,C2,FE,1977,7623,PUB
16,C2,MA,1977,13946,PUB
16,C3,FE,1977,5805,PUB
16,C3,MA,1977,11161,PUB
17,C1,FE,1977,1669,PUB
17,C1,MA,1977,3345,PUB
17,C2,FE,1977,5609,PUB
17,C2,MA,1977,10966,PUB
17,C3,FE,1977,6939,PUB
17,C3,MA,1977,13310,PUB
18,C2,FE,1977,1932,PUB
18,C2,MA,1977,3637,PUB
18,C3,FE,1977,5480,PUB
18,C3,MA,1977,11091,PUB
19,C2,FE,1977,220,PUB
19,C2,MA,1977,562,PUB
19,C3,FE,1977,2545,PUB
19,C3,MA,1977,5153,PUB
20,C3,FE,1977,498,PUB
20,C3,MA,1977,1064,PUB
15,C1,FE,1978,10500,PUB
15,C1,MA,1978,16587,PUB
15,C2,FE,1978,8481,PUB
15,C2,MA,1978,14816,PUB
15,C3,FE,1978,3987,PUB
15,C3,MA,1978,7206,PUB
16,C1,FE,1978,7872,PUB
16,C1,MA,1978,14631,PUB
16,C2,FE,1978,8904,PUB
16,C2,MA,1978,16324,PUB
16,C3,FE,1978,6680,PUB
16,C3,MA,1978,11969,PUB
17,C1,FE,1978,2238,PUB
17,C1,MA,1978,3968,PUB
17,C2,FE,1978,7836,PUB
17,C2,MA,1978,13432,PUB
17,C3,FE,1978,8068,PUB
17,C3,MA,1978,15031,PUB
18,C2,FE,1978,2041,PUB
18,C2,MA,1978,3872,PUB
18,C3,FE,1978,6778,PUB
18,C3,MA,1978,12760,PUB
19,C2,FE,1978,227,PUB
19,C2,MA,1978,490,PUB
19,C3,FE,1978,3217,PUB
19,C3,MA,1978,6043,PUB
20,C3,FE,1978,750,PUB
20,C3,MA,1978,1450,PUB
15,C1,FE,1979,11328,PUB
15,C1,MA,1979,19180,PUB
15,C2,FE,1979,9357,PUB
15,C2,MA,1979,15019,PUB
15,C3,FE,1979,5072,PUB
15,C3,MA,1979,8688,PUB
16,C1,FE,1979,8170,PUB
16,C1,MA,1979,14481,PUB
16,C2,FE,1979,9846,PUB
16,C2,MA,1979,17011,PUB
16,C3,FE,1979,8435,PUB
16,C3,MA,1979,14926,PUB
17,C1,FE,1979,2285,PUB
17,C1,MA,1979,3902,PUB
17,C2,FE,1979,7618,PUB
17,C2,MA,1979,13460,PUB
17,C3,FE,1979,9904,PUB
17,C3,MA,1979,17368,PUB
18,C2,FE,1979,2814,PUB
18,C2,MA,1979,4953,PUB
18,C3,FE,1979,8640,PUB
18,C3,MA,1979,15655,PUB
19,C2,FE,1979,326,PUB
19,C2,MA,1979,677,PUB
19,C3,FE,1979,3840,PUB
19,C3,MA,1979,6874,PUB
20,C3,FE,1979,1059,PUB
20,C3,MA,1979,2026,PUB
15,C1,FE,1980,12509,PUB
15,C1,MA,1980,20469,PUB
15,C2,FE,1980,9778,PUB
15,C2,MA,1980,17090,PUB
15,C3,FE,1980,6166,PUB
15,C3,MA,1980,9567,PUB
16,C1,FE,1980,9525,PUB
16,C1,MA,1980,16049,PUB
16,C2,FE,1980,10876,PUB
16,C2,MA,1980,17230,PUB
16,C3,FE,1980,9434,PUB
16,C3,MA,1980,15304,PUB
17,C1,FE,1980,1961,PUB
17,C1,MA,1980,3697,PUB
17,C2,FE,1980,8124,PUB
17,C2,MA,1980,14274,PUB
17,C3,FE,1980,10726,PUB
17,C3,MA,1980,18669,PUB
18,C1,FE,1980,396,PUB
18,C1,MA,1980,674,PUB
18,C2,FE,1980,3041,PUB
18,C2,MA,1980,4680,PUB
18,C3,FE,1980,9471,PUB
18,C3,MA,1980,16687,PUB
19,C2,FE,1980,488,PUB
19,C2,MA,1980,915,PUB
19,C3,FE,1980,5442,PUB
19,C3,MA,1980,9150,PUB
20,C3,FE,1980,1375,PUB
20,C3,MA,1980,2497,PUB
15,C1,FE,1981,13216,PUB
15,C1,MA,1981,21157,PUB
15,C2,FE,1981,11068,PUB
15,C2,MA,1981,16461,PUB
15,C3,FE,1981,7044,PUB
15,C3,MA,1981,10723,PUB
16,C1,FE,1981,10343,PUB
16,C1,MA,1981,17441,PUB
16,C2,FE,1981,11881,PUB
16,C2,MA,1981,19210,PUB
16,C3,FE,1981,10023,PUB
16,C3,MA,1981,16570,PUB
17,C1,FE,1981,2823,PUB
17,C1,MA,1981,4786,PUB
17,C2,FE,1981,9390,PUB
17,C2,MA,1981,15549,PUB
17,C3,FE,1981,11653,PUB
17,C3,MA,1981,19387,PUB
18,C1,FE,1981,305,PUB
18,C1,MA,1981,704,PUB
18,C2,FE,1981,3198,PUB
18,C2,MA,1981,5187,PUB
18,C3,FE,1981,9935,PUB
18,C3,MA,1981,16400,PUB
19,C2,FE,1981,643,PUB
19,C2,MA,1981,1006,PUB
19,C3,FE,1981,5193,PUB
19,C3,MA,1981,8326,PUB
20,C2,FE,1981,108,PUB
20,C2,MA,1981,219,PUB
20,C3,FE,1981,1613,PUB
20,C3,MA,1981,2379,PUB
21,C3,FE,1981,113,PUB
21,C3,MA,1981,269,PUB
15,C1,FE,1982,14126,PUB
15,C1,MA,1982,22697,PUB
15,C2,FE,1982,11360,PUB
15,C2,MA,1982,16545,PUB
15,C3,FE,1982,6401,PUB
15,C3,MA,1982,9103,PUB
16,C1,FE,1982,11266,PUB
16,C1,MA,1982,19632,PUB
16,C2,FE,1982,12300,PUB
16,C2,MA,1982,19045,PUB
16,C3,FE,1982,10285,PUB
16,C3,MA,1982,15328,PUB
17,C1,FE,1982,4876,PUB
17,C1,MA,1982,8219,PUB
17,C2,FE,1982,10615,PUB
17,C2,MA,1982,17325,PUB
17,C3,FE,1982,12053,PUB
17,C3,MA,1982,19589,PUB
18,C1,FE,1982,1366,PUB
18,C1,MA,1982,2280,PUB
18,C2,FE,1982,5356,PUB
18,C2,MA,1982,8513,PUB
18,C3,FE,1982,11534,PUB
18,C3,MA,1982,18700,PUB
19,C2,FE,1982,1434,PUB
19,C2,MA,1982,2120,PUB
19,C3,FE,1982,7081,PUB
19,C3,MA,1982,11063,PUB
20,C2,FE,1982,230,PUB
20,C2,MA,1982,444,PUB
20,C3,FE,1982,2608,PUB
20,C3,MA,1982,3887,PUB
21,C3,FE,1982,438,PUB
21,C3,MA,1982,855,PUB
15,C1,FE,1983,14441,PUB
15,C1,MA,1983,23522,PUB
15,C2,FE,1983,11621,PUB
15,C2,MA,1983,17730,PUB
15,C3,FE,1983,7075,PUB
15,C3,MA,1983,9308,PUB
16,C1,FE,1983,12551,PUB
16,C1,MA,1983,21302,PUB
16,C2,FE,1983,13205,PUB
16,C2,MA,1983,21205,PUB
16,C3,FE,1983,10998,PUB
16,C3,MA,1983,15975,PUB
17,C1,FE,1983,5513,PUB
17,C1,MA,1983,9822,PUB
17,C2,FE,1983,11383,PUB
17,C2,MA,1983,18983,PUB
17,C3,FE,1983,12918,PUB
17,C3,MA,1983,19645,PUB
18,C1,FE,1983,1455,PUB
18,C1,MA,1983,2668,PUB
18,C2,FE,1983,5956,PUB
18,C2,MA,1983,9562,PUB
18,C3,FE,1983,11950,PUB
18,C3,MA,1983,19439,PUB
19,C2,FE,1983,1883,PUB
19,C2,MA,1983,2694,PUB
19,C3,FE,1983,7613,PUB
19,C3,MA,1983,12647,PUB
20,C2,FE,1983,354,PUB
20,C2,MA,1983,706,PUB
20,C3,FE,1983,2879,PUB
20,C3,MA,1983,4714,PUB
21,C3,FE,1983,762,PUB
21,C3,MA,1983,1151,PUB
15,C1,FE,1984,16529,PUB
15,C1,MA,1984,26190,PUB
15,C2,FE,1984,13038,PUB
15,C2,MA,1984,20024,PUB
15,C3,FE,1984,8133,PUB
15,C3,MA,1984,11881,PUB
16,C1,FE,1984,12799,PUB
16,C1,MA,1984,21906,PUB
16,C2,FE,1984,14049,PUB
16,C2,MA,1984,22427,PUB
16,C3,FE,1984,11952,PUB
16,C3,MA,1984,18123,PUB
17,C1,FE,1984,4780,PUB
17,C1,MA,1984,8548,PUB
17,C2,FE,1984,12039,PUB
17,C2,MA,1984,20142,PUB
17,C3,FE,1984,14154,PUB
17,C3,MA,1984,22277,PUB
18,C1,FE,1984,1256,PUB
18,C1,MA,1984,2375,PUB
18,C2,FE,1984,5708,PUB
18,C2,MA,1984,8965,PUB
18,C3,FE,1984,12682,PUB
18,C3,MA,1984,20613,PUB
19,C2,FE,1984,1679,PUB
19,C2,MA,1984,2496,PUB
19,C3,FE,1984,7965,PUB
19,C3,MA,1984,11898,PUB
20,C2,FE,1984,297,PUB
20,C2,MA,1984,567,PUB
20,C3,FE,1984,2926,PUB
20,C3,MA,1984,4373,PUB
21,C3,FE,1984,493,PUB
21,C3,MA,1984,1067,PUB
15,C1,FE,1985,17111,PUB
